name,lat,lon,分類,住所
市庁舎前浅川河川敷広場,35.667762568814,139.313956141014,河川（浅川）,元本郷町四丁目21
多賀公園前,35.6672210768721,139.31173333774,河川（南浅川）,元本郷町四丁目19
桑志高校前,35.6584008562757,139.304300030089,河川（南浅川）,千人町四丁目8先
舩森公園,35.6586922573801,139.341923698753,湧水,明神町四丁目9
谷地川　滝山橋～道の駅「八王子滝山」裏,35.6872158301412,139.34126130194,河川（谷地川）,滝山町一丁目592-2
小田野中央公園前,35.6773645048605,139.267085689434,河川（浅川）,西寺方町400-1
夕やけ小やけふれあいの里,35.6692365436132,139.216947555541,河川（浅川）,上恩方町2030
川口川　明治橋下流,35.6879579142074,139.305925432522,河川（川口川）,楢原町956-4
南大沢川　城山小学校前,35.6595343988366,139.279359105407,水路（南大沢川）,元八王子町二丁目1224先
川口十二社弁天池,35.6918823550186,139.274332062158,湧水,川口町665先
陵南公園前,35.6484942244994,139.289514970041,河川（南浅川）,東浅川町231-4
湯殿川　和合橋～境橋,35.6337973639202,139.301509357776,河川（湯殿川）,館町1556-1
八王子市北野衛生処理センター裏,35.6574055505071,139.35311709094,河川（浅川）,北野町596-3
堀之内番場公園前,35.6299008803672,139.405368267881,河川（大栗川）,堀之内三丁目8
長池公園～せせらぎ緑道,35.6108078971164,139.390853949637,湧水、水路,別所二丁目58
